,first_algo,bsl_algo,xgb_bsl,knn_bsl_u,knn_bsl_m,xgb_knn_bsl,svd,xgb_final,xgb_all_models
mape,42.36955235730439,34.91353747317135,41.72990318077842,39.75027454501362,36.843527058463785,41.31032225297566,36.17832772264363,40.855700991893826,34.34881844965341
predictions,[3.943927  3.1703997 4.3350477 ... 3.4903605 3.089379  4.6029997],[3.80353184 3.15040187 4.3427701  ... 3.41582403 3.1809336  3.99759112],[3.9846525 2.964188  4.300022  ... 3.5346205 3.2009335 4.4858932],[3.88885356 3.32979589 4.43660079 ... 4.19558245 3.1062596  5.        ],[3.75022609 3.26170724 4.30057995 ... 3.44017892 3.1062596  4.54514952],[3.8927016 3.2745223 4.330309  ... 3.3239605 3.0823834 4.3714333],[3.64121665 3.03073497 4.3287251  ... 3.37004533 2.99181208 4.27032937],[3.9946501 3.1771655 4.3154774 ... 3.4055064 3.0924566 4.391391 ],[3.2618115 3.5711756 3.8438601 ... 3.468344  3.5766604 3.6506221]
rmse,1.5477199502478356,1.0588570650377174,1.5051782125765687,1.3169902900855415,1.176918627800677,1.480120355518577,1.1367190095215383,1.4489747816046674,1.0419226291829358
